SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY1	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
1	1	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar	uma chamada	none
1	2	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar	uma chamada aberta	none
1	6	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar	os atores de seu próximo filme	none
1	7	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar	os atores de seu próximo filme através de um anúncio	none
1	8	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar	os atores de seu próximo filme através de um anúncio de jornal	none
1	10	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	O diretor de o filme Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar	os atores de seu próximo filme	none
1	12	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar os atores de	seu próximo filme	none
1	19	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	O diretor do filme	none	decide realizar	uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal	none
1	20	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	O diretor do filme	none	decide escalar	os atores de seu próximo filme através de um anúncio de jornal	none
1	22	O diretor do filme, Mohsen Makhmalbaf, decide realizar uma chamada aberta para escalar os atores de seu próximo filme através de um anúncio de jornal.	Mohsen Makhmalbaf	none	decide realizar uma chamada aberta para escalar	os atores através de um anúncio de jornal	none
